,microstate,Prediction positive sign,Prediction negative sign,Prediction neutral sign,total number of predictions,Shannon entropy (H)
0,SM25_micro001,4,5,0,9,0.6869615765973234
1,SM25_micro002,6,2,0,8,0.5623351446188083
2,SM25_micro003,8,0,0,8,-0.0
3,SM25_micro004,0,2,0,2,-0.0
4,SM25_micro005,1,1,0,2,0.6931471805599453
5,SM26_micro001,9,0,0,9,-0.0
6,SM26_micro002,3,5,0,8,0.6615632381579821
7,SM26_micro003,8,0,0,8,-0.0
8,SM26_micro004,2,0,0,2,-0.0
9,SM26_micro005,2,0,0,2,-0.0
10,SM27_micro001,9,0,0,9,-0.0
11,SM28_micro001,4,5,0,9,0.6869615765973234
12,SM28_micro002,8,0,0,8,-0.0
13,SM28_micro003,4,4,0,8,0.6931471805599453
14,SM28_micro004,2,0,0,2,-0.0
15,SM29_micro001,9,0,0,9,-0.0
16,SM30_micro001,9,0,0,9,-0.0
17,SM31_micro001,9,0,0,9,-0.0
18,SM31_micro002,2,1,0,3,0.6365141682948128
19,SM32_micro001,9,0,0,9,-0.0
20,SM33_micro001,9,0,0,9,-0.0
21,SM34_micro001,9,0,0,9,-0.0
22,SM34_micro002,2,1,0,3,0.6365141682948128
23,SM35_micro001,9,0,0,9,-0.0
24,SM35_micro002,5,2,1,8,0.9002560512685369
25,SM35_micro003,8,0,0,8,-0.0
26,SM36_micro001,9,0,0,9,-0.0
27,SM36_micro002,4,1,3,8,0.9743147528693494
28,SM36_micro003,8,0,0,8,-0.0
29,SM37_micro001,5,4,0,9,0.6869615765973234
30,SM37_micro002,8,0,0,8,-0.0
31,SM37_micro003,4,3,1,8,0.9743147528693494
32,SM37_micro004,8,0,0,8,-0.0
33,SM37_micro005,3,4,0,7,0.6829081047004717
34,SM38_micro001,9,0,0,9,-0.0
35,SM39_micro001,9,0,0,9,-0.0
36,SM40_micro001,9,0,0,9,-0.0
37,SM40_micro002,4,4,0,8,0.6931471805599453
38,SM41_micro001,9,0,0,9,-0.0
39,SM41_micro002,4,4,0,8,0.6931471805599453
40,SM42_micro001,9,0,0,9,-0.0
41,SM42_micro002,4,4,0,8,0.6931471805599453
42,SM42_micro003,1,2,0,3,0.6365141682948128
43,SM43_micro001,9,0,0,9,-0.0
44,SM43_micro002,4,4,0,8,0.6931471805599453
45,SM43_micro003,4,4,0,8,0.6931471805599453
46,SM43_micro004,0,2,0,2,-0.0
47,SM43_micro005,1,1,0,2,0.6931471805599453
48,SM44_micro001,9,0,0,9,-0.0
49,SM44_micro002,4,4,0,8,0.6931471805599453
50,SM45_micro001,9,0,0,9,-0.0
51,SM45_micro002,4,4,0,8,0.6931471805599453
52,SM46_micro001,9,0,0,9,-0.0
53,SM46_micro002,4,4,0,8,0.6931471805599453
54,SM46_micro003,4,4,0,8,0.6931471805599453
55,SM46_micro004,3,0,0,3,-0.0
